"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.00145,11.01349058,10.73457636,10.88679581,10.94672173,10.88073798,10.6161341,10.85774133,10.49486102,10.54848638,10.57776814,11.11780177,11.32823691,10.74782696
0.0015,11.01349171,10.73458614,10.88680504,10.94673159,10.88074825,10.61614612,10.85774018,10.4948687,10.54849262,10.57777431,11.11781,11.3282299,10.74783627
0.00155,11.01349253,10.73459466,10.88681298,10.94674014,10.88075722,10.61615688,10.85773832,10.49487515,10.54849788,10.57777958,11.11781689,11.32822132,10.74784433
0.0016,11.01349305,10.73460192,10.88681963,10.94674738,10.88076489,10.61616639,10.85773574,10.49488036,10.54850214,10.57778396,11.11782245,11.32821116,10.74785112
0.00165,11.01349325,10.73460793,10.88682499,10.9467533,10.88077125,10.61617465,10.85773245,10.49488433,10.5485054,10.57778744,11.11782666,11.32819944,10.74785666
0.0017,11.01349315,10.73461266,10.88682905,10.94675791,10.88077631,10.61618164,10.85772844,10.49488706,10.54850768,10.57779001,11.11782954,11.32818615,10.74786093
0.00175,11.01349274,10.73461614,10.88683182,10.9467612,10.88078006,10.61618737,10.85772372,10.49488855,10.54850895,10.57779168,11.11783107,11.32817131,10.74786394
0.0018,11.01349203,10.73461835,10.88683329,10.94676318,10.8807825,10.61619184,10.85771829,10.49488879,10.54850924,10.57779245,11.11783126,11.3281549,10.74786569
0.00185,11.013491,10.73461929,10.88683346,10.94676383,10.88078363,10.61619504,10.85771215,10.49488779,10.54850852,10.57779232,11.1178301,11.32813695,10.74786616
0.0019,11.01348967,10.73461896,10.88683233,10.94676316,10.88078344,10.61619697,10.85770531,10.49488555,10.54850681,10.57779128,11.11782761,11.32811746,10.74786537
0.00195,11.01348803,10.73461736,10.8868299,10.94676117,10.88078195,10.61619763,10.85769776,10.49488207,10.54850411,10.57778934,11.11782377,11.32809643,10.74786332
0.002,11.01348609,10.7346145,10.88682617,10.94675787,10.88077914,10.61619702,10.85768951,10.49487735,10.54850041,10.5777865,11.11781859,11.32807387,10.74785999
0.00205,11.01348384,10.73461037,10.88682115,10.94675324,10.88077503,10.61619515,10.85768056,10.49487139,10.54849572,10.57778275,11.11781207,11.3280498,10.74785541
0.0021,11.01348128,10.73460497,10.88681483,10.94674729,10.88076961,10.616192,10.85767092,10.49486419,10.54849003,10.57777811,11.11780422,11.32802421,10.74784956
0.00215,11.01347842,10.73459831,10.88680722,10.94674004,10.88076288,10.61618759,10.85766058,10.49485576,10.54848336,10.57777257,11.11779503,11.32799711,10.74784244
0.0022,11.01347526,10.73459039,10.88679832,10.94673146,10.88075484,10.61618192,10.85764956,10.49484609,10.5484757,10.57776613,11.11778451,11.32796853,10.74783407
0.00225,11.0134718,10.73458121,10.88678814,10.94672158,10.8807455,10.61617497,10.85763784,10.4948352,10.54846706,10.57775879,11.11777266,11.32793846,10.74782444
0.0023,11.01346803,10.73457078,10.88677666,10.94671039,10.88073487,10.61616677,10.85762545,10.49482308,10.54845743,10.57775056,11.11775948,11.32790692,10.74781356
0.00235,11.01346397,10.73455909,10.88676391,10.9466979,10.88072294,10.61615731,10.85761239,10.49480975,10.54844682,10.57774145,11.11774499,11.32787391,10.74780143
0.0024,11.0134596,10.73454616,10.88674989,10.94668411,10.88070971,10.61614659,10.85759864,10.49479519,10.54843524,10.57773144,11.11772919,11.32783946,10.74778805
0.00245,11.01345494,10.73453198,10.88673459,10.94666903,10.88069521,10.61613462,10.85758424,10.49477943,10.54842269,10.57772056,11.11771207,11.32780356,10.74777343
0.0025,11.01344999,10.73451656,10.88671802,10.94665266,10.88067941,10.6161214,10.85756917,10.49476245,10.54840917,10.57770879,11.11769365,11.32776624,10.74775758
0.00255,11.01344474,10.73449991,10.8867002,10.946635,10.88066235,10.61610693,10.85755344,10.49474428,10.54839469,10.57769615,11.11767394,11.32772751,10.74774049
0.0026,11.0134392,10.73448203,10.88668112,10.94661607,10.88064401,10.61609123,10.85753706,10.49472492,10.54837925,10.57768264,11.11765294,11.32768738,10.74772218
0.00265,11.01343337,10.73446292,10.8866608,10.94659587,10.88062441,10.61607429,10.85752004,10.49470437,10.54836286,10.57766826,11.11763065,11.32764587,10.74770265
0.0027,11.01342725,10.7344426,10.88663923,10.9465744,10.88060355,10.61605613,10.85750237,10.49468263,10.54834552,10.57765302,11.11760709,11.32760298,10.74768191
0.00275,11.01342085,10.73442108,10.88661643,10.94655168,10.88058144,10.61603674,10.85748407,10.49465973,10.54832725,10.57763693,11.11758226,11.32755874,10.74765997
0.0028,11.01341416,10.73439835,10.88659241,10.9465277,10.88055808,10.61601614,10.85746514,10.49463566,10.54830804,10.57761998,11.11755617,11.32751316,10.74763683
0.00285,11.0134072,10.73437443,10.88656717,10.94650249,10.88053349,10.61599433,10.8574456,10.49461044,10.5482879,10.57760219,11.11752883,11.32746625,10.74761249
0.0029,11.01339995,10.73434932,10.88654072,10.94647605,10.88050768,10.61597132,10.85742543,10.49458406,10.54826684,10.57758356,11.11750025,11.32741804,10.74758698
